GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
"Population","Share","Children of Immigrants, Share",0,"Detroit-Warren-Dearborn, MI",19820,.14184412,.14486137,.14675026,.14699255,.15024965,.15481335,.1683057,.18119174,.18291584,.1861877,.18724884,.19089073
"Population","Share","Children of Immigrants, Share",0,"El Paso, TX",21340,.50666809,.48614311,.4977771,.4808538,.46730551,.4744924,.46066409,.44210288,.44054607,.42986211,.40012562,.40827468
"Population","Share","Children of Immigrants, Share",0,"Fresno, CA",23420,.44384572,.44347444,.42758128,.42892471,.44405043,.44455391,.44705069,.44195855,.43052864,.43821922,.44233954,.41437048
"Population","Share","Children of Immigrants, Share",0,"Grand Rapids-Wyoming, MI",24340,.10905998,.11734062,.11423948,.107445,.10814457,.12204551,.12789227,.1294529,.13785474,.12892602,.13192669,.14296111
"Population","Share","Children of Immigrants, Share",0,"Greensboro-High Point, NC",24660,.13960683,.13987629,.15850282,.1566928,.16188237,.16396566,.18523709,.2059914,.20579571,.20015937,.2056635,.209905
"Population","Share","Children of Immigrants, Share",0,"Greenville-Anderson-Mauldin, SC",24860,.08851542,.09587289,.09040944,.11290733,.12754653,.1114711,.10897557,.1125279,.11244228,.12143223,.12571883,.12651289
"Population","Share","Children of Immigrants, Share",0,"Harrisburg-Carlisle, PA",25420,.0647323,.08234201,.08060858,.08346357,.08040243,.08390229,.09844583,.11382982,.13330388,.1107719,.09890001,.12515356
"Population","Share","Children of Immigrants, Share",0,"Hartford-West Hartford-East Hartford, CT",25540,.1686268,.1819389,.17305648,.192377,.20213175,.198607,.19908394,.21465392,.21258591,.20421919,.21072233,.22549802
"Population","Share","Children of Immigrants, Share",0,"Houston-The Woodlands-Sugar Land, TX",26420,.38481462,.38563502,.3929247,.40524328,.41473046,.42123321,.42119613,.41902804,.41789845,.42553189,.42520049,.43209776
"Population","Share","Children of Immigrants, Share",0,"Indianapolis-Carmel-Anderson, IN",26900,.07818263,.08764464,.09978385,.10543804,.10865465,.11381651,.11647793,.1177028,.12783232,.13500082,.13878046,.15398115
"Population","Share","Children of Immigrants, Share",0,"Jackson, MS",27140,.02708776,.02133382,.02595175,.03178313,.03055455,.03020527,.02623072,.03174427,.03398004,.03643673,.04136989,.0372494
"Population","Share","Children of Immigrants, Share",0,"Jacksonville, FL",27260,.11276329,.11395888,.11372534,.13265792,.13940582,.13173918,.13068739,.1465674,.14598751,.14346895,.15499939,.16757017
"Population","Share","Children of Immigrants, Share",0,"Kansas City, MO-KS",28140,.10140321,.10365468,.11315876,.11554091,.11109801,.12288056,.12519759,.12874709,.14112397,.13806556,.14114554,.14139718
"Population","Share","Children of Immigrants, Share",0,"Knoxville, TN",28940,.046528,.05617305,.06133941,.06320676,.07674613,.08642093,.08363433,.07648985,.07800562,.08948185,.09056509,.08946988
"Population","Share","Children of Immigrants, Share",0,"Lakeland-Winter Haven, FL",29460,.17937131,.18279538,.19653386,.21475689,.2262633,.21773033,.21569313,.19900885,.19468978,.20520271,.20328137,.21039985
"Population","Share","Children of Immigrants, Share",0,"Las Vegas-Henderson-Paradise, NV",29820,.37197116,.40147802,.40510383,.39724204,.4044117,.41125575,.40467715,.40563974,.41008154,.4020355,.40364793,.41308984
"Population","Share","Children of Immigrants, Share",0,"Little Rock-North Little Rock-Conway, AR",30780,.06130506,.0696834,.0854455,.08656649,.07827701,.07327761,.07398448,.07232488,.07830595,.08684155,.08228412,.08422032
"Population","Share","Children of Immigrants, Share",0,"Los Angeles-Long Beach-Anaheim, CA",31080,.59410667,.59560245,.59461719,.59338588,.59222353,.58558965,.58548546,.58455086,.57433683,.56866145,.56698513,.5581851
"Population","Share","Children of Immigrants, Share",0,"Louisville/Jefferson County, KY-IN",31140,.05499782,.05961651,.06804859,.07746466,.0844285,.09606268,.11174975,.11125019,.09503579,.10259554,.11657076,.11230933
"Population","Share","Children of Immigrants, Share",0,"Madison, WI",31540,.09782082,.10122941,.10858366,.09738497,.10848033,.14066696,.14252709,.14637643,.14426622,.14858465,.17111403,.16569363
"Population","Share","Children of Immigrants, Share",0,"McAllen-Edinburg-Mission, TX",32580,.55584294,.56716388,.57301652,.58435261,.58438969,.5903663,.59210473,.57728255,.56814378,.55078477,.55223554,.5491814
"Population","Share","Children of Immigrants, Share",0,"Memphis, TN-MS-AR",32820,.07306997,.07402841,.0810097,.08877896,.09325895,.09482144,.10027124,.10359148,.10251879,.10736426,.11962304,.11826006
"Population","Share","Children of Immigrants, Share",0,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,.53814071,.53773153,.53398329,.53967643,.54652971,.55005956,.55706489,.56353235,.55672359,.56166899,.57890558,.59111106
"Population","Share","Children of Immigrants, Share",0,"Milwaukee-Waukesha-West Allis, WI",33340,.10590543,.11518066,.12422351,.13672915,.13992248,.13155676,.13270807,.13630278,.13236493,.14277062,.15675361,.14920589
"Population","Share","Children of Immigrants, Share",0,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,.16244595,.16828862,.17080218,.18125439,.19633226,.20127177,.20441097,.20650059,.21168184,.22481321,.22853416,.2344248
"Population","Share","Children of Immigrants, Share",0,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,.11091471,.12531334,.14352909,.15003164,.14805363,.15591234,.16039912,.1622103,.17161706,.17863199,.18131088,.1870008
"Population","Share","Children of Immigrants, Share",0,"New Haven-Milford, CT",35300,.16142476,.17403728,.18362039,.18684636,.20355079,.21616563,.2165778,.20990822,.21493691,.22134408,.2311867,.22455005
"Population","Share","Children of Immigrants, Share",0,"New Orleans-Metairie, LA",35380,.08265172,.09005523,.09395569,.096453,.10749061,.1053812,.0942819,.10508032,.12403464,.1269891,.12534557,.12493639
"Population","Share","Children of Immigrants, Share",0,"New York-Newark-Jersey City, NY-NJ-PA",35620,.40639773,.41860992,.42595735,.42363623,.427407,.43228921,.44264317,.4534063,.45263001,.45481491,.46454683,.46877483
"Population","Share","Children of Immigrants, Share",0,"North Port-Sarasota-Bradenton, FL",35840,.22328919,.23377621,.20922543,.23447834,.258425,.25126043,.26647925,.25426579,.2473534,.25716099,.26399657,.28725043
"Population","Share","Children of Immigrants, Share",0,"Ogden-Clearfield, UT",36260,.10981536,.11633746,.12097815,.11140129,.10682277,.1133183,.12239468,.11332739,.10806257,.1160426,.11751791,.11611457
"Population","Share","Children of Immigrants, Share",0,"Oklahoma City, OK",36420,.13823079,.15403798,.14475566,.13857786,.14992566,.16851249,.17007332,.15938252,.16529569,.18038319,.18003531,.15919675
"Population","Share","Children of Immigrants, Share",0,"Omaha-Council Bluffs, NE-IA",36540,.11134214,.1073757,.11640552,.12869345,.13693805,.13991626,.16184239,.15569139,.13089517,.1388817,.14899588,.167808
"Population","Share","Children of Immigrants, Share",0,"Orlando-Kissimmee-Sanford, FL",36740,.26568627,.27571464,.27621311,.28536332,.27988183,.27309555,.29697412,.3077189,.30152929,.30861369,.31291047,.3089664
"Population","Share","Children of Immigrants, Share",0,"Oxnard-Thousand Oaks-Ventura, CA",37100,.42233583,.43899485,.43081573,.43489641,.46640325,.45403126,.44356808,.44550043,.45258182,.45652425,.45901868,.45119095
"Population","Share","Children of Immigrants, Share",0,"Palm Bay-Melbourne-Titusville, FL",37340,.13984486,.14812157,.14190184,.14353849,.14320906,.14622594,.1327945,.14733461,.16920705,.18006286,.18071342,.14787573
"Population","Share","Children of Immigrants, Share",0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,.12837116,.13666335,.14801416,.1521232,.15497708,.16168456,.16962026,.17771769,.17697045,.177948,.19531086,.20363885
"Population","Share","Children of Immigrants, Share",0,"Phoenix-Mesa-Scottsdale, AZ",38060,.31783146,.33413517,.33712417,.33289096,.32218686,.30114448,.30243871,.30979329,.30303952,.30143631,.30679581,.31327689
"Population","Share","Children of Immigrants, Share",0,"Pittsburgh, PA",38300,.04308322,.04021201,.04339975,.04786037,.05158156,.05020439,.05073056,.05691536,.05733188,.06145972,.069833,.07163171
"Population","Share","Children of Immigrants, Share",0,"Portland-Vancouver-Hillsboro, OR-WA",38900,.23118274,.23570636,.24579789,.25905323,.26530761,.26554564,.27138945,.2832174,.28578168,.27104059,.27304873,.28206694
"Population","Share","Children of Immigrants, Share",0,"Providence-Warwick, RI-MA",39300,.22160767,.22683758,.22763124,.21753053,.21005549,.21294148,.22085847,.23002352,.23454057,.22360758,.22781265,.24171467
"Population","Share","Children of Immigrants, Share",0,"Provo-Orem, UT",39340,.1361042,.14089876,.14122534,.13684064,.12199175,.12812154,.14762905,.1441059,.1461619,.15247431,.14935617,.14078534
"Population","Share","Children of Immigrants, Share",0,"Raleigh, NC",39580,.17004517,.18310851,.21072902,.22649068,.23006403,.23670125,.23018694,.2231701,.22908947,.23623613,.25255576,.27037188
"Population","Share","Children of Immigrants, Share",0,"Richmond, VA",40060,.09863102,.09680892,.10046536,.11161838,.1253408,.13446872,.13435844,.13362221,.13913901,.14634441,.14393477,.15193897
"Population","Share","Children of Immigrants, Share",0,"Riverside-San Bernardino-Ontario, CA",40140,.43134677,.43425605,.44088379,.43723109,.4358018,.42346492,.42691401,.43127578,.42231786,.42473677,.42097202,.39972347
"Population","Share","Children of Immigrants, Share",0,"Rochester, NY",40380,.09714579,.08754419,.09153652,.09179519,.09675128,.1017043,.09736857,.10277304,.09947193,.10297243,.11308331,.10866081
"Population","Share","Children of Immigrants, Share",0,"Sacramento--Roseville--Arden-Arcade, CA",40900,.30896008,.32137719,.33190566,.32186911,.33248395,.35836461,.36107051,.35548368,.35463461,.35204655,.3555539,.3616282
"Population","Share","Children of Immigrants, Share",0,"St. Louis, MO-IL",41180,.0654266,.06169461,.06231709,.06513751,.07020243,.08196501,.08007352,.07588966,.07569911,.07211863,.08516999,.09043388
"Population","Share","Children of Immigrants, Share",0,"Salt Lake City, UT",41620,.20304488,.21996374,.22748847,.2304416,.22728994,.24165036,.23912443,.23321714,.24416329,.23669308,.22632176,.23977733
"Population","Share","Children of Immigrants, Share",0,"San Antonio-New Braunfels, TX",41700,.20442925,.20399892,.21545979,.22458063,.22436354,.23063031,.23926485,.23052673,.23013151,.22992268,.22413489,.2172004
"Population","Share","Children of Immigrants, Share",0,"San Diego-Carlsbad, CA",41740,.44109967,.43416634,.43220574,.43987885,.45734465,.46123251,.45369822,.46071801,.44702932,.43967816,.4589127,.45562208
"Population","Share","Children of Immigrants, Share",0,"San Francisco-Oakland-Hayward, CA",41860,.48191032,.49072477,.48625186,.49366406,.50502956,.5074532,.51180625,.51347202,.5078038,.51770937,.52529871,.51572055
"Population","Share","Children of Immigrants, Share",0,"San Jose-Sunnyvale-Santa Clara, CA",41940,.58940011,.59061164,.60028833,.61188245,.61073416,.6247384,.6383673,.63286042,.62584817,.62389052,.63319778,.64956671
"Population","Share","Children of Immigrants, Share",0,"Scranton--Wilkes-Barre--Hazleton, PA",42540,.05006978,.0457473,.0597126,.06905989,.08483486,.09014422,.09101973,.09886444,.1116831,.11565445,.11155283,.11580885
"Population","Share","Children of Immigrants, Share",0,"Seattle-Tacoma-Bellevue, WA",42660,.25829345,.27357453,.26921013,.27773473,.29792294,.31305459,.3129788,.32329535,.31365836,.31571013,.33773768,.34477505
"Population","Share","Children of Immigrants, Share",0,"Spokane-Spokane Valley, WA",44060,.09655923,.10281929,.11608353,.12806517,.12604426,.13634752,.12253939,.09567554,.1031367,.10874207,.1042361,.09702215
"Population","Share","Children of Immigrants, Share",0,"Springfield, MA",44140,.1083171,.11376695,.13551435,.1452571,.14299802,.14700389,.14911593,.13991733,.13591677,.14006288,.13699752,.12600219
"Population","Share","Children of Immigrants, Share",0,"Stockton-Lodi, CA",44700,.4295325,.4426375,.44404685,.43585816,.44062811,.4457331,.45879713,.46441701,.47055596,.49607542,.49293825,.47843847
"Population","Share","Children of Immigrants, Share",0,"Syracuse, NY",45060,.06044437,.07800602,.07657411,.06964892,.07888106,.09630387,.10512374,.09533259,.09411392,.10472221,.10252559,.10128942
"Population","Share","Children of Immigrants, Share",0,"Tampa-St. Petersburg-Clearwater, FL",45300,.19906503,.20678902,.20428167,.19947527,.2084218,.2135677,.22434054,.22992679,.22556697,.23831235,.23887682,.23890969
"Population","Share","Children of Immigrants, Share",0,"Toledo, OH",45780,.03933265,.04391358,.0532852,.05550795,.06892361,.06801093,.04709146,.0496638,.06150242,.04968381,.05309663,.07981516
"Population","Share","Children of Immigrants, Share",0,"Tucson, AZ",46060,.27137455,.26758996,.26570341,.26511946,.2788243,.27481955,.26806781,.26770297,.25882611,.24183168,.25478229,.24905127
"Population","Share","Children of Immigrants, Share",0,"Tulsa, OK",46140,.09090544,.09107109,.09958398,.1146221,.12195762,.11312432,.11645854,.12848051,.13405086,.14335157,.15339208,.15062867
"Population","Share","Children of Immigrants, Share",0,"Urban Honolulu, HI",46520,.28513989,.26623085,.30249074,.29890475,.28556609,.29963353,.30933842,.30393934,.29711345,.29926857,.30555445,.31518877
"Population","Share","Children of Immigrants, Share",0,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,.0833815,.08108958,.0846567,.09605188,.10353721,.11023585,.11257493,.11153068,.10630715,.10128792,.10382805,.11380731
"Population","Share","Children of Immigrants, Share",0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,.30866912,.3182072,.33308634,.33707714,.34798184,.3603304,.37055171,.38090819,.38870201,.39321277,.39770871,.40474579
"Population","Share","Children of Immigrants, Share",0,"Wichita, KS",48620,.11807961,.13378608,.12194789,.11829069,.13566929,.16199175,.17246123,.1659404,.16212447,.16247736,.15997949,.1681232
"Population","Share","Children of Immigrants, Share",0,"Winston-Salem, NC",49180,.1305538,.15137473,.16390757,.16370928,.1688337,.18689826,.19739179,.19167142,.20612168,.20180592,.1880687,.20034413
"Population","Share","Children of Immigrants, Share",0,"Worcester, MA-CT",49340,.14953512,.14650851,.15711236,.17319494,.18167008,.18907623,.18275452,.20458619,.20370278,.200288,.21091887,.21059336
"Population","Share","Children of Immigrants, Share",0,"Youngstown-Warren-Boardman, OH-PA",49660,.02461063,.02704436,.02833426,.02340108,.02288065,.02038129,.01913934,.02756359,.02760286,.01715724,.02249042,.02801521
"Population","TotalNum","Total Number of Children of Immigrants",0,"Akron, OH",10420,8000,7000,9000,11000,11000,12000,12000,10000,9000,11000,10000,11000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Albany-Schenectady-Troy, NY",10580,18000,19000,20000,21000,22000,22000,20000,23000,25000,24000,24000,25000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Albuquerque, NM",10740,40000,43000,41000,45000,49000,46000,44000,50000,50000,46000,44000,36000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,22000,26000,27000,26000,28000,33000,31000,26000,26000,28000,32000,32000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Atlanta-Sandy Springs-Roswell, GA",12060,272000,294000,319000,349000,354000,344000,352000,358000,371000,390000,389000,396000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Augusta-Richmond County, GA-SC",12260,8000,9000,7000,7000,9000,10000,11000,11000,12000,11000,10000,9000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Austin-Round Rock, TX",12420,98000,107000,115000,123000,128000,133000,139000,142000,150000,156000,154000,156000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Bakersfield, CA",12540,93000,97000,96000,103000,110000,107000,111000,114000,107000,108000,112000,105000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Baltimore-Columbia-Towson, MD",12580,69000,77000,82000,87000,97000,99000,97000,97000,104000,119000,123000,125000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Baton Rouge, LA",12940,8000,8000,9000,9000,9000,10000,13000,13000,11000,11000,12000,15000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Birmingham-Hoover, AL",13820,14000,13000,16000,21000,24000,24000,23000,20000,19000,21000,23000,24000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Boise City, ID",14260,20000,22000,26000,27000,26000,27000,27000,26000,26000,26000,24000,22000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Boston-Cambridge-Newton, MA-NH",14460,252000,252000,263000,271000,277000,279000,280000,293000,301000,306000,312000,309000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Bridgeport-Stamford-Norwalk, CT",14860,64000,67000,73000,74000,73000,75000,74000,74000,75000,79000,84000,87000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,16000,18000,16000,19000,22000,23000,22000,23000,26000,27000,28000,26000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Cape Coral-Fort Myers, FL",15980,32000,35000,36000,36000,37000,39000,37000,38000,41000,45000,44000,43000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Charleston-North Charleston, SC",16700,9000,11000,12000,12000,16000,15000,12000,13000,16000,19000,19000,16000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Charlotte-Concord-Gastonia, NC-SC",16740,72000,77000,88000,103000,104000,102000,107000,113000,115000,115000,122000,124000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Chattanooga, TN-GA",16860,6000,6000,8000,10000,9000,9000,9000,8000,9000,11000,13000,13000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Chicago-Naperville-Elgin, IL-IN-WI",16980,726000,743000,742000,754000,753000,762000,768000,755000,738000,733000,725000,725000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Cincinnati, OH-KY-IN",17140,28000,29000,29000,34000,38000,36000,36000,40000,44000,40000,39000,44000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Cleveland-Elyria, OH",17460,37000,38000,39000,41000,39000,39000,38000,35000,36000,36000,40000,43000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Colorado Springs, CO",17820,21000,20000,21000,22000,23000,23000,22000,23000,24000,24000,23000,22000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Columbia, SC",17900,10000,13000,14000,15000,15000,14000,16000,16000,17000,17000,16000,18000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Columbus, OH",18140,41000,43000,48000,51000,57000,58000,62000,70000,70000,73000,73000,74000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Dallas-Fort Worth-Arlington, TX",19100,534000,560000,580000,621000,639000,639000,655000,662000,674000,690000,703000,723000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Dayton, OH",19380,7000,7000,10000,11000,13000,12000,10000,11000,12000,13000,13000,13000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Deltona-Daytona Beach-Ormond Beach, FL",19660,14000,16000,16000,15000,15000,16000,15000,14000,17000,18000,17000,16000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Denver-Aurora-Lakewood, CO",19740,148000,151000,161000,161000,161000,166000,167000,174000,176000,177000,182000,182000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Des Moines-West Des Moines, IA",19780,14000,16000,18000,19000,20000,21000,20000,23000,28000,27000,27000,26000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Detroit-Warren-Dearborn, MI",19820,163000,164000,163000,160000,158000,159000,170000,181000,181000,182000,182000,184000
"Population","TotalNum","Total Number of Children of Immigrants",0,"El Paso, TX",21340,118000,114000,116000,113000,112000,116000,112000,107000,105000,101000,93000,95000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Fresno, CA",23420,121000,120000,115000,117000,123000,124000,124000,123000,120000,122000,124000,116000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Grand Rapids-Wyoming, MI",24340,28000,30000,30000,28000,28000,31000,33000,33000,35000,33000,34000,36000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Greensboro-High Point, NC",24660,23000,23000,26000,26000,28000,28000,32000,35000,35000,34000,35000,36000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Greenville-Anderson-Mauldin, SC",24860,16000,18000,17000,22000,25000,22000,21000,22000,22000,24000,25000,25000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Harrisburg-Carlisle, PA",25420,8000,9000,9000,10000,10000,10000,12000,14000,16000,13000,12000,15000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Hartford-West Hartford-East Hartford, CT",25540,45000,49000,47000,51000,54000,53000,52000,56000,54000,51000,52000,55000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Houston-The Woodlands-Sugar Land, TX",26420,586000,606000,628000,664000,690000,703000,709000,714000,725000,753000,766000,791000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Indianapolis-Carmel-Anderson, IN",26900,37000,42000,49000,51000,53000,56000,58000,58000,64000,67000,69000,77000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Jackson, MS",27140,4000,-97,-97,5000,5000,-97,-97,5000,5000,5000,6000,5000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Jacksonville, FL",27260,36000,36000,37000,43000,45000,42000,42000,47000,47000,47000,51000,57000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Kansas City, MO-KS",28140,49000,52000,57000,58000,57000,63000,64000,66000,72000,71000,73000,73000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Knoxville, TN",28940,8000,10000,11000,11000,14000,16000,15000,14000,14000,16000,16000,16000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Lakeland-Winter Haven, FL",29460,24000,25000,27000,30000,32000,31000,31000,28000,28000,30000,30000,32000
"Population","TotalNum","Total Number of Children of Immigrants",0,"Las Vegas-Henderson-Paradise, NV",29820,169000,190000,199000,198000,200000,201000,198000,199000,201000,199000,203000,211000
