GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Population","Share","Children of Immigrants, Share",0,"San Antonio-New Braunfels, TX",41700,.20442925,.20399892,.21545979,.22458063,.22436354,.23063031,.23926485,.23052673,.23013151,.22992268
"Population","Share","Children of Immigrants, Share",0,"San Diego-Carlsbad, CA",41740,.44109967,.43416634,.43220574,.43987885,.45734465,.46123251,.45369822,.46071801,.44702932,.43967816
"Population","Share","Children of Immigrants, Share",0,"San Francisco-Oakland-Hayward, CA",41860,.48191032,.49072477,.48625186,.49366406,.50502956,.5074532,.51180625,.51347202,.5078038,.51770937
"Population","Share","Children of Immigrants, Share",0,"San Jose-Sunnyvale-Santa Clara, CA",41940,.58940011,.59061164,.60028833,.61188245,.61073416,.6247384,.6383673,.63286042,.62584817,.62389052
"Population","Share","Children of Immigrants, Share",0,"Scranton--Wilkes-Barre--Hazleton, PA",42540,.05006978,.0457473,.0597126,.06905989,.08483486,.09014422,.09101973,.09886444,.1116831,.11565445
"Population","Share","Children of Immigrants, Share",0,"Seattle-Tacoma-Bellevue, WA",42660,.25829345,.27357453,.26921013,.27773473,.29792294,.31305459,.3129788,.32329535,.31365836,.31571013
"Population","Share","Children of Immigrants, Share",0,"Spokane-Spokane Valley, WA",44060,.09655923,.10281929,.11608353,.12806517,.12604426,.13634752,.12253939,.09567554,.1031367,.10874207
"Population","Share","Children of Immigrants, Share",0,"Springfield, MA",44140,.1083171,.11376695,.13551435,.1452571,.14299802,.14700389,.14911593,.13991733,.13591677,.14006288
"Population","Share","Children of Immigrants, Share",0,"Stockton-Lodi, CA",44700,.4295325,.4426375,.44404685,.43585816,.44062811,.4457331,.45879713,.46441701,.47055596,.49607542
"Population","Share","Children of Immigrants, Share",0,"Syracuse, NY",45060,.06044437,.07800602,.07657411,.06964892,.07888106,.09630387,.10512374,.09533259,.09411392,.10472221
"Population","Share","Children of Immigrants, Share",0,"Tampa-St. Petersburg-Clearwater, FL",45300,.19906503,.20678902,.20428167,.19947527,.2084218,.2135677,.22434054,.22992679,.22556697,.23831235
"Population","Share","Children of Immigrants, Share",0,"Toledo, OH",45780,.03933265,.04391358,.0532852,.05550795,.06892361,.06801093,.04709146,.0496638,.06150242,.04968381
"Population","Share","Children of Immigrants, Share",0,"Tucson, AZ",46060,.27137455,.26758996,.26570341,.26511946,.2788243,.27481955,.26806781,.26770297,.25882611,.24183168
"Population","Share","Children of Immigrants, Share",0,"Tulsa, OK",46140,.09090544,.09107109,.09958398,.1146221,.12195762,.11312432,.11645854,.12848051,.13405086,.14335157
"Population","Share","Children of Immigrants, Share",0,"Urban Honolulu, HI",46520,.28513989,.26623085,.30249074,.29890475,.28556609,.29963353,.30933842,.30393934,.29711345,.29926857
"Population","Share","Children of Immigrants, Share",0,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,.0833815,.08108958,.0846567,.09605188,.10353721,.11023585,.11257493,.11153068,.10630715,.10128792
"Population","Share","Children of Immigrants, Share",0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,.30866912,.3182072,.33308634,.33707714,.34798184,.3603304,.37055171,.38090819,.38870201,.39321277
"Population","Share","Children of Immigrants, Share",0,"Wichita, KS",48620,.11807961,.13378608,.12194789,.11829069,.13566929,.16199175,.17246123,.1659404,.16212447,.16247736
"Population","Share","Children of Immigrants, Share",0,"Winston-Salem, NC",49180,.1305538,.15137473,.16390757,.16370928,.1688337,.18689826,.19739179,.19167142,.20612168,.20180592
"Population","Share","Children of Immigrants, Share",0,"Worcester, MA-CT",49340,.14953512,.14650851,.15711236,.17319494,.18167008,.18907623,.18275452,.20458619,.20370278,.200288
"Population","Share","Children of Immigrants, Share",0,"Youngstown-Warren-Boardman, OH-PA",49660,.02461063,.02704436,.02833426,.02340108,.02288065,.02038129,.01913934,.02756359,.02760286,.01715724
"Population","TotalNum","Total Number of Children of Immigrants",,"",,,,,,,,,,,
"Population","Percent","Percent of Children of Immigrants",0,"Akron, OH",10420,.00050009,.00042714,.0005385,.00064237,.00063041,.00068287,.00067613,.00055698,.00049964,.00060559
"Population","Percent","Percent of Children of Immigrants",0,"Albany-Schenectady-Troy, NY",10580,.00112521,.00115938,.00119667,.00122635,.00126082,.00125192,.00112689,.00128105,.00138789,.00132129
"Population","Percent","Percent of Children of Immigrants",0,"Albuquerque, NM",10740,.00250047,.00262387,.00245318,.00262789,.00280818,.00261765,.00247915,.00278489,.00277577,.00253248
"Population","Percent","Percent of Children of Immigrants",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.00137526,.00158653,.00161551,.00151834,.00160468,.00187788,.00174668,.00144815,.0014434,.00154151
"Population","Percent","Percent of Children of Immigrants",0,"Atlanta-Sandy Springs-Roswell, GA",12060,.01700319,.01793996,.01908694,.02038075,.0202877,.01957549,.01983322,.01993985,.02059624,.02147104
"Population","Percent","Percent of Children of Immigrants",0,"Augusta-Richmond County, GA-SC",12260,.00050009,.00054918,.00041884,.00040878,.00051579,.00056905,.00061979,.00061268,.00066619,.00060559
"Population","Percent","Percent of Children of Immigrants",0,"Austin-Round Rock, TX",12420,.00612615,.00652917,.00688087,.0071829,.00733566,.00756843,.00783187,.0079091,.00832732,.00858842
"Population","Percent","Percent of Children of Immigrants",0,"Bakersfield, CA",12540,.00581359,.00591897,.00574403,.00601495,.00630409,.00608889,.00625423,.00634956,.00594015,.00594583
