GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Connecticut","CT",.19543718,.21069309,.23580012,.24909575,.23231035,.23123296,.22395381,.22574115,.23197833,.23206207
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Delaware","DE",.28440225,.30571443,.35889176,.36159304,.30812687,.32608089,.36107346,.38806498,.4089354,.38907138
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"District of Columbia","DC",.40724742,.35329577,.34334725,.29989064,.31568158,.35533649,.35184145,.35120377,.33672678,.30003765
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Florida","FL",.25187346,.25438705,.25380021,.24749838,.25260693,.25872371,.25331193,.23226422,.2277821,.22993207
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Georgia","GA",.32508156,.34670559,.36561391,.38397071,.37840512,.35466805,.3642714,.38330433,.39128524,.3948999
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Hawaii","HI",.10600112,.11323918,.11486052,.12058892,.15716964,.14137712,.1402164,.16849647,.15654278,.14416058
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Idaho","ID",.25138536,.27704659,.29185992,.32414448,.36330983,.43574074,.44878083,.37573844,.33058962,.33559367
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Illinois","IL",.29554275,.30664754,.31216151,.33315367,.34724107,.34251708,.33853498,.33876514,.33050027,.33244804
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Indiana","IN",.28271478,.31468534,.33595785,.32552072,.33023608,.36645901,.35215336,.34531546,.35312966,.35666072
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Iowa","IA",.31980997,.26935199,.28904739,.30527416,.26867208,.28563744,.33266106,.28284755,.25116292,.26829615
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Kansas","KS",.27195635,.30660984,.34135675,.35483688,.39717582,.38105515,.37805492,.37560773,.34136838,.35800189
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Kentucky","KY",.21163876,.2601622,.25838435,.3065871,.32651833,.30532455,.33367482,.32063973,.2986376,.3193562
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Louisiana","LA",.15805742,.18350522,.19996656,.23746482,.24524607,.24206051,.2675668,.2945748,.29385626,.30318117
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Maine","ME",.10754784,.13009615,.0979399,.16242497,.18812943,.13108696,.11109801,.11754098,.10436691,.08814027
