GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Columbia, SC",17900,.5850413,.5145463,.4668585,.4864148,.5295327,.500052,.4704498,.447549,.4779374
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Columbus, OH",18140,.4823631,.5262121,.5996955,.5872086,.5774987,.5928521,.6050746,.6330627,.62647289
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Dallas-Fort Worth-Arlington, TX",19100,.4433296,.4381477,.4425821,.4376206,.4457277,.4491064,.4486877,.4468526,.45396209
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Dayton, OH",19380,.7470127,.7179961,.6881727,.7294985,.647463,.5750598,.5870938,.6455852,.67497003
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Deltona-Daytona Beach-Ormond Beach, FL",19660,.6159225,.7085143,.6902114,.7023181,.6860691,.612804,.6325949,.7281986,.71368366
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Denver-Aurora-Lakewood, CO",19740,.4586699,.4682881,.4570278,.4677927,.4826126,.4873333,.5087841,.516623,.51119447
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Des Moines-West Des Moines, IA",19780,.3411185,.433019,.5126483,.4471496,.4151028,.5043228,.5232297,.5340671,.58434153
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Detroit-Warren-Dearborn, MI",19820,.6890425,.6871679,.7037082,.6965669,.669789,.6702918,.6903129,.6919571,.68989474
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"El Paso, TX",21340,.5483745,.5780568,.5851153,.585892,.5766224,.5838135,.57189,.5863709,.62209117
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Fresno, CA",23420,.48938,.5036033,.4898037,.4488056,.4424445,.4448344,.4342342,.4584672,.46909887
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Grand Rapids-Wyoming, MI",24340,.4888836,.4877967,.5630959,.583024,.5964587,.6232136,.5650963,.5450547,.52322417
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Greensboro-High Point, NC",24660,.3435422,.3661233,.4421849,.4227127,.3534019,.434112,.4229717,.3821238,.44181219
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Greenville-Anderson-Mauldin, SC",24860,.4953319,.4842954,.4082356,.435578,.465169,.4560991,.4641042,.4517127,.42675
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Harrisburg-Carlisle, PA",25420,.6636156,.5704015,.5574577,.6249155,.6161031,.6773775,.7611494,.7190744,.70020628
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Hartford-West Hartford-East Hartford, CT",25540,.686235,.6683549,.63746,.6452792,.6674481,.6786717,.6809317,.6804505,.68725383
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Houston-The Woodlands-Sugar Land, TX",26420,.4724562,.4667605,.4635537,.4683155,.4674799,.4631449,.4695334,.4760305,.46588895
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Indianapolis-Carmel-Anderson, IN",26900,.5014813,.5117164,.4914715,.4584751,.4197869,.4078448,.4212643,.432015,.46071798
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Jackson, MS",27140,.7386972,-97,-97,.2968725,.3507925,-97,-97,.6204935,.58513176
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Jacksonville, FL",27260,.6549546,.6663458,.698402,.7255397,.7091261,.7376317,.7522618,.7587758,.77903867
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Kansas City, MO-KS",28140,.5520988,.5169667,.5416494,.5187429,.4655513,.4912114,.5837604,.5806171,.54556102
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Knoxville, TN",28940,.4598288,.4187898,.5362525,.6013472,.615744,.6725789,.64362,.6417215,.51963311
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Lakeland-Winter Haven, FL",29460,.4891758,.536136,.5857409,.5722045,.5136613,.4839829,.5357581,.5892779,.57428765
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Las Vegas-Henderson-Paradise, NV",29820,.5337665,.5251226,.4934581,.4784344,.5068915,.5297251,.532048,.560783,.57985038
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Little Rock-North Little Rock-Conway, AR",30780,.4877897,.5564403,.6310894,.5646868,.4045364,.5765458,.6594868,.4600033,.34919336
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Los Angeles-Long Beach-Anaheim, CA",31080,.5198739,.5104926,.506243,.5174855,.522758,.5216854,.5235339,.531135,.53208631
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Louisville/Jefferson County, KY-IN",31140,.4291566,.3867264,.4786715,.5287251,.4589644,.4657595,.4477071,.5112522,.54491949
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Madison, WI",31540,.5044019,.5244765,.5742025,.5706268,.5763459,.5157329,.5062895,.4686289,.46996704
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"McAllen-Edinburg-Mission, TX",32580,.4589508,.4645115,.455052,.4337722,.4549913,.4592296,.448842,.4389493,.41606048
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Memphis, TN-MS-AR",32820,.5251291,.5058945,.4408391,.4050038,.4241851,.4901395,.5206826,.4815091,.45941496
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,.5595425,.5771301,.5882379,.5963145,.5905563,.5926595,.6175376,.6448641,.65056419
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Milwaukee-Waukesha-West Allis, WI",33340,.5602426,.5457257,.5618432,.5505428,.5405036,.6182427,.5963877,.5251343,.53591657
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,.6038933,.5910316,.5929067,.6034627,.5665014,.5790005,.6417377,.7023115,.66459328
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,.4738981,.4802965,.4762098,.4425691,.454301,.4522002,.4694626,.4933217,.48114046
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"New Haven-Milford, CT",35300,.6058266,.6177871,.6411958,.61621,.6277747,.6401238,.6656503,.6638007,.65622717
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"New Orleans-Metairie, LA",35380,.7535288,.620361,.6311523,.5998017,.6034424,.5998961,.5513058,.6002045,.6367842
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"New York-Newark-Jersey City, NY-NJ-PA",35620,.6225507,.6310948,.6341263,.6344706,.6225392,.6207618,.6305534,.6274567,.64076066
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"North Port-Sarasota-Bradenton, FL",35840,.5200841,.509635,.514755,.5691223,.5999527,.5477477,.5475948,.5968626,.57694119
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Ogden-Clearfield, UT",36260,.4809023,.5475091,.5530934,.5181387,.5234947,.4778006,.4974753,.6585941,.74639827
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Oklahoma City, OK",36420,.505021,.4806897,.5086432,.5115066,.4815743,.4936602,.4856284,.4426867,.38203064
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Omaha-Council Bluffs, NE-IA",36540,.5394836,.5056102,.5446975,.4750325,.4402569,.4996385,.4966582,.5201384,.51761311
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Orlando-Kissimmee-Sanford, FL",36740,.6208905,.6054204,.6272117,.6430086,.6428921,.6654336,.66539,.6543853,.65747213
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Oxnard-Thousand Oaks-Ventura, CA",37100,.5496529,.5365664,.5332491,.5540691,.5395787,.5184705,.531598,.5426399,.55840272
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Palm Bay-Melbourne-Titusville, FL",37340,.7517358,.6828535,.6370981,.7120537,.7136506,.7028756,.6843272,.7808775,.83788377
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,.6322748,.64916,.6332703,.6188377,.6416297,.6713555,.6699079,.6424466,.63465279
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Phoenix-Mesa-Scottsdale, AZ",38060,.4251037,.416972,.4050887,.4118656,.4376515,.4410789,.4552113,.4648678,.46605027
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Pittsburgh, PA",38300,.6458696,.6551003,.7188298,.7090765,.6758562,.6299157,.6050248,.6396284,.65179187
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Portland-Vancouver-Hillsboro, OR-WA",38900,.4979315,.5063001,.5088738,.503422,.5072386,.5262916,.581288,.5962955,.58209854
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Providence-Warwick, RI-MA",39300,.6576719,.6592491,.6682625,.6711806,.676384,.7000548,.6725409,.6648009,.67327493
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Provo-Orem, UT",39340,.6206527,.5116279,.560816,.6328548,.6678094,.6227542,.6392083,.609088,.588691
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Raleigh, NC",39580,.4739913,.432144,.4408933,.4693623,.4954844,.5356156,.510927,.4653727,.4554362
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Richmond, VA",40060,.5030926,.5481024,.539871,.5699735,.5874031,.5207798,.5161488,.5490497,.54421496
